"General Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"","(0.19)","(0.23)","(0.19)","(0.49)","(0.60)"
"Women's rights","-0.14 ","0.71 ","0.46 ","-0.80 ","2.44 *"
"","(0.44)","(0.54)","(0.43)","(1.12)","(1.38)"
"Population","0.11 ","0.30 **","-0.04 ","0.12 ","0.18 "
"","(0.12)","(0.14)","(0.11)","(0.29)","(0.36)"
"Eastern Mediterranean","0.33 ","-0.74 ","0.86 ","-3.10 *","2.23 "
"","(0.70)","(0.84)","(0.67)","(1.76)","(2.17)"
"European","0.38 ","-0.19 ","-0.29 ","-0.46 ","1.41 "
"","(0.45)","(0.54)","(0.44)","(1.14)","(1.42)"
"African","0.32 ","-0.53 ","-0.40 ","-2.07 *","1.47 "
"","(0.42)","(0.50)","(0.41)","(1.08)","(1.34)"
"Western Pacific","0.59 ","-0.25 ","-0.10 ","-1.98 ","2.34 "
"","(0.52)","(0.63)","(0.50)","(1.32)","(1.63)"
"South-East Asia","0.31 ","0.27 ","-0.20 ","-2.10 ","0.94 "
"","(0.66)","(0.79)","(0.63)","(1.65)","(2.04)"
"(Intercept)","2.19 ","-2.20 ","1.53 ","5.25 ","0.05 "
"","(1.35)","(1.61)","(1.29)","(3.39)","(4.17)"
"Bloomberg FCTC Count","-0.17 ","-0.14 ","0.43 ","0.28 ","1.08 "
"","(0.31)","(0.37)","(0.30)","(0.77)","(0.95)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.10","0.07","0.05","0.05"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
