"General Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"Women's rights","-0.12 ","0.75 ","0.42 ","-0.80 ","2.34 *"
"","(0.44)","(0.53)","(0.43)","(1.11)","(1.38)"
"Population","0.10 ","0.26 *","-0.03 ","0.09 ","0.17 "
"","(0.12)","(0.15)","(0.12)","(0.30)","(0.38)"
"Eastern Mediterranean","0.33 ","-0.73 ","0.88 ","-3.07 *","2.28 "
"","(0.70)","(0.84)","(0.68)","(1.76)","(2.18)"
"European","0.36 ","-0.21 ","-0.26 ","-0.45 ","1.49 "
"","(0.45)","(0.54)","(0.44)","(1.14)","(1.42)"
"African","0.33 ","-0.50 ","-0.40 ","-2.04 *","1.49 "
"","(0.42)","(0.51)","(0.41)","(1.08)","(1.35)"
"Western Pacific","0.51 ","-0.35 ","0.07 ","-1.91 ","2.76 *"
"","(0.51)","(0.61)","(0.49)","(1.27)","(1.58)"
"South-East Asia","0.26 ","0.22 ","-0.08 ","-2.03 ","1.23 "
"","(0.66)","(0.79)","(0.63)","(1.64)","(2.03)"
"(Intercept)","2.23 *","-2.11 ","1.50 ","5.34 ","0.04 "
"","(1.35)","(1.61)","(1.29)","(3.39)","(4.19)"
"Bloomberg FCTC Amount","-0.00 ","0.15 ","0.16 ","0.33 ","0.53 "
"","(0.24)","(0.29)","(0.23)","(0.60)","(0.74)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.10","0.07","0.05","0.05"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
